iter	Passed	Remaining
427	1750	2339
428	1753	2334
429	1756	2328
430	1759	2323
431	1763	2318
432	1766	2312
433	1770	2309
434	1774	2304
435	1777	2299
436	1780	2294
437	1785	2290
438	1787	2284
439	1791	2279
440	1794	2274
441	1797	2269
442	1799	2262
443	1803	2258
444	1806	2252
445	1809	2247
446	1812	2242
447	1815	2236
448	1819	2232
449	1822	2227
450	1825	2222
451	1829	2217
452	1832	2213
453	1836	2208
454	1840	2205
455	1844	2200
456	1847	2195
457	1850	2190
458	1854	2186
459	1858	2181
460	1862	2177
461	1865	2171
462	1868	2167
463	1870	2161
464	1873	2155
465	1877	2151
466	1880	2146
467	1884	2142
468	1888	2137
469	1891	2132
470	1894	2127
471	1897	2122
472	1902	2119
473	1905	2114
474	1909	2109
475	1913	2106
476	1916	2101
477	1920	2096
478	1923	2091
479	1927	2087
480	1929	2082
481	1932	2077
482	1936	2072
483	1939	2067
484	1943	2063
485	1948	2060
486	1951	2056
487	1955	2051
488	1959	2047
489	1963	2043
490	1966	2038
491	1971	2035
492	1975	2032
493	1979	2027
494	1982	2022
495	1985	2017
496	1988	2012
497	1992	2008
498	1998	2006
499	2001	2001
500	2003	1995
501	2007	1991
502	2011	1987
503	2014	1982
504	2018	1978
505	2024	1976
506	2027	1971
507	2030	1966
508	2034	1962
509	2038	1958
510	2041	1953
511	2044	1949
512	2047	1943
513	2051	1939
514	2055	1935
515	2058	1931
516	2062	1926
517	2065	1921
518	2068	1916
519	2071	1911
520	2074	1907
521	2080	1904
522	2084	1900
523	2088	1896
524	2091	1892
525	2095	1888
526	2097	1882
527	2103	1880
528	2106	1875
529	2110	1871
530	2112	1866
531	2115	1861
532	2118	1856
533	2122	1852
534	2129	1850
535	2132	1846
536	2136	1841
537	2139	1837
538	2143	1832
539	2145	1827
540	2148	1822
541	2153	1819
542	2157	1815
543	2162	1812
544	2166	1808
545	2168	1803
546	2173	1799
547	2177	1795
548	2179	1790
549	2182	1786
550	2185	1780
551	2188	1776
552	2192	1772
553	2196	1767
554	2198	1762
555	2201	1758
556	2204	1753
557	2209	1750
558	2212	1745
559	2215	1741
560	2219	1736
561	2225	1734
562	2230	1731
563	2237	1729
564	2240	1725
565	2244	1721
566	2249	1718
567	2254	1714
568	2257	1710
569	2265	1708
570	2269	1704
571	2272	1700
572	2276	1696
573	2280	1692
574	2283	1687
575	2289	1684
576	2295	1682
577	2297	1677
578	2302	1673
579	2308	1671
580	2312	1667
581	2316	1663
582	2319	1659
583	2322	1654
584	2324	1648
585	2326	1643
586	2334	1642
587	2339	1639
588	2353	1642
589	2358	1639
590	2363	1635
591	2367	1631
592	2371	1627
593	2374	1622
594	2377	1618
595	2381	1614
596	2383	1609
597	2387	1604
598	2390	1600
599	2394	1596
600	2397	1591
601	2400	1586
602	2402	1582
603	2407	1578
604	2410	1573
605	2413	1569
606	2416	1564
607	2420	1560
608	2424	1556
609	2427	1551
610	2430	1547
611	2433	1543
612	2437	1538
613	2441	1534
614	2444	1530
615	2448	1526
616	2451	1522
617	2454	1517
618	2457	1512
619	2460	1508
620	2466	1505
621	2469	1500
622	2472	1496
623	2475	1491
624	2479	1487
625	2484	1484
626	2487	1479
627	2496	1479
628	2499	1474
629	2504	1471
630	2509	1467
631	2512	1463
632	2516	1459
633	2521	1455
634	2525	1451
635	2529	1447
636	2533	1443
637	2536	1439
638	2540	1435
639	2544	1431
640	2549	1427
641	2552	1423
642	2555	1418
643	2560	1415
644	2565	1412
645	2571	1409
646	2578	1406
647	2582	1403
648	2587	1399
649	2591	1395
650	2594	1391
651	2597	1386
652	2603	1383
